tema,status,observacao,tese
42,OK,,"Falta ao autor interesse de agir para a ação em que postula a obtenção de documentos com dados societários, se não logra demonstrar haver apresentado requerimento formal à ré nesse sentido."
43,OK,,A comprovação do pagamento do 'custo do serviço' referente ao fornecimento de certidão de assentamentos constantes dos livros da companhia é requisito de procedibilidade da ação de exibição de documentos ajuizada em face da sociedade anônima.
47,OK,,A presunção de veracidade contida no art. 359 do Código de Processo Civil não se aplica às ações cautelares de exibição de documentos.
50,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Aguardando julgamento de mérito
55,OK,,"Em se tratando de contratos celebrados no âmbito do Sistema Financeiro da Habitação, a execução extrajudicial de que trata o Decreto-lei nº 70/66, enquanto perdurar a demanda, poderá ser suspensa, uma vez preenchidos os requisitos para a concessão da tutela cautelar, independentemente de caução ou do depósito de valores incontroversos, desde que: a) exista discussão judicial contestando a existência integral ou parcial do débito; b) essa discussão esteja fundamentada em jurisprudência do Superior Tribunal de Justiça ou do Supremo Tribunal Federal (fumus boni iuris)."
60,OK,,"Ajuizada ação coletiva atinente a macro-lide geradora de processos multitudinários, suspendem-se as ações individuais, no aguardo do julgamento da ação coletiva."
76,OK,,"Em demandas sobre a legitimidade da cobrança de tarifas por serviço de telefonia, movidas por usuário contra a concessionária, não se configura hipótese de litisconsórcio passivo necessário da ANATEL."
82,OK,,"A citação válida, ainda que por edital, tem o condão de interromper o fluxo do prazo prescricional."
84,OK,,"Tratando-se de fornecimento de medicamentos, cabe ao Juiz adotar medidas eficazes à efetivação de suas decisões, podendo, se necessário, determinar até mesmo o sequestro de valores do devedor (bloqueio), segundo o seu prudente arbítrio, e sempre com adequada fundamentação."
98,OK,,"Possibilidade de imposição de multa diária (astreintes) a ente público, para compeli-lo a fornecer medicamento à pessoa desprovida de recursos financeiros."
102,OK,,A citação por edital na execução fiscal é cabível quando frustradas as demais modalidades.
103,OK,,"Se a execução foi ajuizada apenas contra a pessoa jurídica, mas o nome do sócio consta da CDA, a ele incumbe o ônus da prova de que não ficou caracterizada nenhuma das circunstâncias previstas no art. 135 do CTN, ou seja, não houve a prática de atos 'com excesso de poderes ou infração de lei, contrato social ou estatutos'."
104,OK,,A exceção de pré-executividade é admissível na execução fiscal relativamente às matérias conhecíveis de ofício que não demandem dilação probatória.
108,OK,,Não cabe exceção de pré-executividade em execução fiscal promovida contra sócio que figura como responsável na Certidão de Dívida Ativa - CDA.
115,OK,,"Mostra-se suficiente para autorizar o pleito repetitório a juntada de apenas um comprovante de pagamento da taxa de iluminação pública, pois isso demonstra que era suportada pelo contribuinte uma exação que veio a ser declarada inconstitucional. A definição dos valores exatos objeto de devolução será feita por liquidação de sentença, na qual obrigatoriamente deverá ocorrer a demonstração do quantum recolhido indevidamente."
118,OK,,"Tese firmada pela Primeira Seção no julgamento do REsp n. 1.111.164/BA, acórdão publicado no DJe de 25/05/2009: É necessária a efetiva comprovação do recolhimento feito a maior ou indevidamente para fins de declaração do direito à compensação tributária em sede de mandado de segurança. Tese fixada nos REsps n. 1.365.095/SP e 1.715.256/SP (acórdãos publicados no DJe de 11/3/2019), explicitando o definido mencionada tese: (a) tratando-se de Mandado de Segurança impetrado com vistas a declarar o direito à compensação tributária, em virtude do reconhecimento da ilegalidade ou inconstitucionalidade da anterior exigência da exação, independentemente da apuração dos respectivos valores, é suficiente, para esse efeito, a comprovação cabal de que o impetrante ocupa a posição de credor tributário, visto que os comprovantes de recolhimento indevido serão exigidos posteriormente, na esfera administrativa, quando o procedimento de compensação for submetido à verificação pelo Fisco; e (b) tratando-se de Mandado de Segurança com vistas a obter juízo específico sobre as parcelas a serem compensadas, com efetiva alegação da liquidez e certeza dos créditos, ou, ainda, na hipótese em que os efeitos da sentença supõem a efetiva homologação da compensação a ser realizada, o crédito do Contribuinte depende de quantificação, de modo que a inexistência de comprovação suficiente dos valores indevidamente recolhidos representa a ausência de prova pré-constituída indispensável à propositura da ação mandamental."
120,OK,,A Fazenda Pública pode recusar a substituição do bem penhorado por precatório.
127,OK,,"A responsabilidade pela apresentação dos extratos analíticos das contas vinculadas do FGTS é exclusiva da Caixa Econômica Federal, inclusive com relação aos extratos anteriores à migração das contas que não tenham sido transferidas à CEF."
128,OK,,Os honorários advocatícios não são devidos à Defensoria Pública quando ela atua contra a pessoa jurídica de direito público à qual pertença.
129,OK,,Reconhece-se à Defensoria Pública o direito ao recebimento dos honorários advocatícios se a atuação se dá em face de ente federativo diverso do qual é parte integrante.
130,OK,,"O Supremo Tribunal Federal deferiu medida cautelar na ADI nº 2.189-3 para suspender as normas contidas na Lei Estadual nº 12.398/98, que dispõe sobre as contribuições dos inativos e pensionistas para o fundo de previdência dos servidores públicos do Estado do Paraná, sem, no entanto, atribuir- lhe efeito retroativo. A cautela assim deferida não impede o prosseguimento dos processos visando justamente afastar a aplicação da lei ou do ato normativo suspenso em decisão provida de eficácia erga omnes, tampouco o ajuizamento de novas ações que tenham por fundamento a restituição dos valores cobrados em virtude da norma excluída do mundo jurídico, ainda que em caráter precário."
131,OK,,"O termo inicial para a oposição dos Embargos à Execução Fiscal é a data da efetiva intimação da penhora, e não a da juntada aos autos do mandado cumprido."
133,OK,,"A autenticação de cópias do Agravo de Instrumento do artigo 522, do CPC, resulta como diligência não prevista em lei, em face do acesso imediato aos autos principais, propiciado na instância local. A referida providência somente se impõe diante da impugnação específica da parte adversa."
134,OK,,"Em execução fiscal, a prescrição ocorrida antes da propositura da ação pode ser decretada de ofício (art. 219, § 5º, do CPC)."
136,OK,,É cabível a interposição de agravo de instrumento contra decisão de magistrado de primeira instância que indefere ou concede liminar em mandado de segurança.
143,OK,,"Em casos de extinção de execução fiscal em virtude de cancelamento de débito pela exequente, define a necessidade de se perquirir quem deu causa à demanda a fim de imputar-lhe o ônus pelo pagamento dos honorários advocatícios."
145,OK,,"Aplica-se a taxa SELIC, a partir de 1º.1.1996, na atualização monetária do indébito tributário, não podendo ser cumulada, porém, com qualquer outro índice, seja de juros ou atualização monetária. Se os pagamentos foram efetuados após 1º.1.1996, o termo inicial para a incidência do acréscimo será o do pagamento indevido; havendo pagamentos indevidos anteriores à data de vigência da Lei 9.250/95, a incidência da taxa SELIC terá como termo a quo a data de vigência do diploma legal em tela, ou seja, janeiro de 1996."
166,OK,,"A Fazenda Pública pode substituir a certidão de dívida ativa (CDA) até a prolação da sentença de embargos, quando se tratar de correção de erro material ou formal, vedada a modificação do sujeito passivo da execução."
172,OK,,"Demanda envolvendo questões referentes ao empréstimo compulsório sobre energia elétrica proposta unicamente contra a Eletrobrás, perante a justiça estadual. (...) O pedido de intervenção da União realizado após a prolação da sentença enseja tão somente o deslocamento do processo para o Tribunal Regional Federal, para que examine o requerimento de ingresso na lide e prossiga (se for o caso) seu julgamento, sem a automática anulação da sentença proferida pelo juízo estadual."
175,OK,,"Seja porque o art. 530 do CPC não faz restrição quanto à natureza da matéria objeto dos embargos infringentes - apenas exige que a sentença de mérito tenha sido reformada em grau de apelação por maioria de votos -, seja porque o capítulo da sentença que trata dos honorários é de mérito, embora acessório e dependente, devem ser admitidos os embargos infringentes para discutir verba de sucumbência."
176,OK,,"Tendo sido a sentença exequenda prolatada anteriormente à entrada em vigor do Novo Código Civil, fixado juros de 6% ao ano, correto o entendimento do Tribunal de origem ao determinar a incidência de juros de 6% ao ano até 11 de janeiro de 2003 e, a partir de então, da taxa a que alude o art. 406 do Novo CC, conclusão que não caracteriza qualquer violação à coisa julgada."
182,OK,,É dispensado o curador especial de oferecer garantia ao Juízo para opor embargos à execução.
184,OK,,"O valor dos honorários advocatícios em sede de desapropriação deve respeitar os limites impostos pelo artigo 27, § 1º, do Decreto-lei 3.365/41 - qual seja: entre 0,5% e 5% da diferença entre o valor proposto inicialmente pelo imóvel e a indenização imposta judicialmente."
193,OK,,"Os Estados da Federação são partes legítimas para figurar no pólo passivo das ações propostas por servidores públicos estaduais, que visam o reconhecimento do direito à isenção ou à repetição do indébito relativo ao imposto de renda retido na fonte."
194,OK,,"Opostos embargos declaratórios de decisão colegiada, o relator poderá negar seguimento monocraticamente, com base no caput do artigo 557 do CPC."
195,OK,,"Os honorários advocatícios devem ser compensados quando houver sucumbência recíproca, assegurado o direito autônomo do advogado à execução do saldo sem excluir a legitimidade da própria parte."
197,OK,,Os juros de mora na indenização do seguro DPVAT fluem a partir da citação.
204,OK,,"Nas demandas que tratam da atualização monetária dos saldos das contas vinculadas do FGTS, a legitimidade passiva ad causam é exclusiva da Caixa Econômica Federal, por ser gestora do Fundo, com a exclusão da União e dos bancos depositários (Súmula 249/STJ)."
206,EXCLUIR,Duplicado conceitual da tese do Tema 204.,"Nas demandas que tratam da atualização monetária dos saldos das contas vinculadas do FGTS, a legitimidade passiva ad causam é exclusiva da Caixa Econômica Federal, por ser gestora do Fundo, com a exclusão da União e dos bancos depositários (Súmula 249/STJ)"
209,OK,,O promitente vendedor é parte legítima para figurar no pólo passivo da execução fiscal que busca a cobrança de ITR nas hipóteses em que não há registro imobiliário do ato translativo de propriedade.
218,OK,,"A penhora on line, antes da entrada em vigor da Lei n. 11.382/2006, configura-se como medida excepcional, cuja efetivação está condicionada à comprovação de que o credor tenha tomado todas as diligências no sentido de localizar bens livres e desembaraçados de titularidade do devedor."
219,OK,,"Após o advento da Lei n. 11.382/2006, o Juiz, ao decidir acerca da realização da penhora on line, não pode mais exigir a prova, por parte do credor, de exaurimento de vias extrajudiciais na busca de bens a serem penhorados."
220,OK,,Descabe a prisão civil do depositário judicial infiel.
222,OK,,"Os honorários sucumbenciais, quando omitidos em decisão transitada em julgado, não podem ser cobrados em execução ou em ação própria."
228,OK,,"O contribuinte pode optar por receber, por meio de precatório ou por compensação, o indébito tributário certificado por sentença declaratória transitada em julgado"
231,OK,,"Os Procuradores Federais e os Procuradores do Banco Central, consoante preconizado no art. 17 da Lei 10.910, de 15 de julho de 2004, têm como prerrogativa o recebimento da intimação pessoal."
235,OK,,"A correção monetária é matéria de ordem pública, integrando o pedido de forma implícita, razão pela qual sua inclusão ex officio, pelo juiz ou tribunal, não caracteriza julgamento extra ou ultra petita, hipótese em que prescindível o princípio da congruência entre o pedido e a decisão judicial."
236,OK,,"Em processo de execução, o terceiro afetado pela constrição judicial de seus bens poderá opor embargos de terceiro à execução ou interpor recurso contra a decisão constritiva, na condição de terceiro prejudicado."
239,OK,,"A Súmula 343, do Supremo Tribunal Federal, cristalizou o entendimento de que não cabe ação rescisória por ofensa a literal disposição de lei, quando a decisão rescindenda se tiver baseado em texto legal de interpretação controvertida nos tribunais. A ação rescisória resta cabível, se, à época do julgamento cessara a divergência, hipótese em que o julgado divergente, ao revés de afrontar a jurisprudência, viola a lei que confere fundamento jurídico ao pedido."
241,OK,,"O depósito prévio previsto no art. 38, da LEF, não constitui condição de procedibilidade da ação anulatória, mas mera faculdade do autor, para o efeito de suspensão da exigibilidade do crédito tributário, nos termos do art. 151 do CTN, inibindo, dessa forma, o ajuizamento da ação executiva fiscal."
243,OK,,"Para fins do art. 543-c do CPC, firma-se a seguinte orientação: 1.1. É indispensável citação válida para configuração da fraude de execução, ressalvada a hipótese prevista no § 3º do art. 615-A do CPC. 1.2. O reconhecimento da fraude de execução depende do registro da penhora do bem alienado ou da prova de má-fé do terceiro adquirente (Súmula n. 375/STJ). 1.3. A presunção de boa-fé é princípio geral de direito universalmente aceito, sendo milenar parêmia: a boa-fé se presume; a má-fé se prova. 1.4. Inexistindo registro da penhora na matrícula do imóvel, é do credor o ônus da prova de que o terceiro adquirente tinha conhecimento de demanda capaz de levar o alienante à insolvência, sob pena de torna-se letra morta o disposto no art. 659, § 4º, do CPC. 1.5. Conforme previsto no § 3º do art. 615-A do CPC, presume-se em fraude de execução a alienação ou oneração de bens realizada após averbação referida no dispositivo"
249,OK,,"O prosseguimento da execução fiscal (pelo valor remanescente daquele constante do lançamento tributário ou do ato de formalização do contribuinte fundado em legislação posteriormente declarada inconstitucional em sede de controle difuso) revela-se forçoso em face da suficiência da liquidação do título executivo, consubstanciado na sentença proferida nos embargos à execução, que reconheceu o excesso cobrado pelo Fisco, sobressaindo a higidez do ato de constituição do crédito tributário, o que, a fortiori, dispensa a emenda ou substituição da certidão de dívida ativa (CDA)."
258,OK,,É incabível o mandado de segurança para convalidar a compensação tributária realizada pelo contribuinte.
260,OK,,"O reforço da penhora não pode ser deferido ex officio, a teor dos artigos 15, II, da LEF e 685 do CPC."
262,OK,,"A prescrição, causa extintiva do crédito tributário, é passível de ser veiculada em exceção de pré- executividade, máxime quando fundada na inconstitucionalidade."
284,OK,,"O descumprimento das providências enumeradas no caput do art. 526 do CPC, adotáveis no prazo de três dias, somente enseja as consequências dispostas em seu parágrafo único se o agravado suscitar a questão formal no momento processual oportuno, sob pena de preclusão."
285,OK,,"A ausência ou o equívoco quanto ao número da inscrição do advogado na Ordem dos Advogados do Brasil - OAB não gera nulidade da intimação da sentença, máxime quando corretamente publicados os nomes das partes e respectivos patronos, informações suficientes para a identificação da demanda."
286,OK,,"A ausência ou o equívoco quanto ao número da inscrição do advogado na Ordem dos Advogados do Brasil - OAB não gera nulidade da intimação da sentença, máxime quando corretamente publicados os nomes das partes e respectivos patronos, informações suficientes para a identificação da demanda. Nada obstante, é certo que a existência de homonímia torna relevante o equívoco quanto ao número da inscrição na OAB, uma vez que a parte é induzida em erro, sofrendo prejuízo imputável aos serviçosjudiciários."
287,OK,,É legítima a penhora da sede do estabelecimento comercial.
288,OK,,"É admissível o ajuizamento de novos embargos de devedor, ainda que nas hipóteses de reforço ou substituição da penhora, quando a discussão adstringir-se aos aspectos formais do novo ato constritivo."
289,OK,,"A renúncia ao crédito exequendo remanescente, com a consequente extinção do processo satisfativo, reclama prévia intimação, vedada a presunção de renúncia tácita."
290,OK,,"Se o ato translativo foi praticado a partir de 09.06.2005, data de início da vigência da Lei Complementar n.º 118/2005, basta a efetivação da inscrição em dívida ativa para a configuração da figura da fraude."
291,OK,,Questão referente à incidência de juros moratórios entre a data da expedição da Requisição de Pequeno Valor - RPV e seu efetivo pagamento.
292,OK,,"Incide correção monetária no período compreendido entre a elaboração dos cálculos e o efetivo pagamento da RPV, ressalvada a observância dos critérios de atualização porventura fixados na sentença de liquidação."
294,OK,,"A compensação efetuada pelo contribuinte, antes do ajuizamento do feito executivo, pode figurar como fundamento de defesa dos embargos à execução fiscal, a fim de ilidir a presunção de liquidez e certeza da CDA, máxime quando, à época da compensação, restaram atendidos os requisitos da existência de crédito tributário compensável, da configuração do indébito tributário, e da existência de lei específica autorizativa da citada modalidade extintiva do crédito tributário."
298,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Observar temas referentes a expurgos inflacionários no STF
299,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Observar temas referentes a expurgos inflacionários no STF
314,OK,,"A inércia da Fazenda exequente, ante a intimação regular para promover o andamento do feito e a observância dos artigos 40 e 25 da Lei de Execução Fiscal, implica a extinção da execução fiscal não embargada ex officio, afastando-se o Enunciado Sumular 240 do STJ, segundo o qual 'A extinção do processo, por abandono da causa pelo autor, depende de requerimento do réu'. Matéria impassível de ser alegada pela exequente contumaz."
315,OK,,A parte autora pode eleger apenas um dos devedores solidários para figurar no pólo passivo da demanda. (...) A possibilidade de escolha de um dos devedores solidários afasta a figura do litisconsórcio compulsório ou necessário.
316,OK,,A incidência do duplo grau de jurisdição obrigatório é imperiosa quando a resolução do processo cognitivo for anterior à reforma engendrada pela Lei 10.352/2001.
317,OK,,"O devedor não tem assegurado o direito de ser executado no foro de seu domicílio, salvo se nenhuma das espécies do parágrafo único se verificar."
320,OK,,"É inadmissível a conversão, de ofício ou a requerimento das partes, da execução em ação monitória após ter ocorrido a citação."
321,OK,,"O prazo do art. 284 do Código de Processo Civil não é peremptório, mas dilatório, ou seja, pode ser reduzido ou ampliado por convenção das partes ou por determinação do juiz."
344,OK,,"Em se tratando de ato que impede a permanência da pessoa jurídica no SIMPLES em decorrência da superveniência de situação impeditiva prevista no artigo 9º, incisos III a XIV e XVII a XIX, da Lei 9.317/1996, seus efeitos são produzidos a partir do mês subsequente à data da ocorrência da circunstância excludente, nos exatos termos do artigo 15, inciso II, da mesma lei."
347,OK,,"Nas demandas de cunho declaratório, até por inexistir condenação pecuniária que possa servir de base de cálculo, os honorários devem ser fixados com referência no valor da causa ou em montante fixo."
348,OK,,"A Câmara de Vereadores não possui personalidade jurídica, mas apenas personalidade judiciária, de modo que somente pode demandar em juízo para defender os seus direitos institucionais, entendidos esses como sendo os relacionados ao funcionamento, autonomia e independência do órgão. No caso, a Câmara de Vereadores do Município de Lagoa do Piauí/PI ajuizou ação ordinária inibitória com pedido de tutela antecipada contra a Fazenda Nacional e o INSS, objetivando afastar a incidência da contribuição previdenciária sobre os vencimentos pagos aos próprios vereadores. Não se trata, portanto, de defesa de prerrogativa institucional, mas de pretensão de cunho patrimonial."
353,OK,,Não se cogita perempção da execução extrajudicial na hipótese do não cumprimento do prazo estabelecido pelo § 1º do art. 31 do Decreto-lei n. 70/66
359,OK,,"A fixação de percentual relativo aos juros moratórios, após a edição da Lei 9.250/95, em decisão que transitou em julgado, impede a inclusão da Taxa SELIC em fase de liquidação de sentença, sob pena de violação ao instituto da coisa julgada, porquanto a referida taxa engloba juros e correção monetária, não podendo ser cumulada com qualquer outro índice de atualização."
373,OK,,"A execução fiscal proposta pela União e suas autarquias deve ser ajuizada perante o Juiz de Direito da comarca do domicílio do devedor, quando esta não for sede de vara da justiça federal. A decisão do Juiz Federal, que declina da competência quando a norma do art. 15, I, da Lei nº 5.010, de 1966 deixa de ser observada, não está sujeita ao enunciado da Súmula nº 33 do Superior Tribunal de Justiça."
376,OK,,"A intimação da parte agravada para resposta é procedimento natural de preservação do princípio do contraditório, nos termos do art. 527, V, do CPC. (...) A dispensa do referido ato processual ocorre tão-somente quando o relator nega seguimento ao agravo (art. 527, I), uma vez que essa decisão beneficia o agravado, razão pela qual conclui-se que a intimação para a apresentação de contrarrazões é condição de validade da decisão que causa prejuízo ao recorrente."
377,EXCLUIR,Duplicado conceitual da tese do Tema 376.,"A intimação da parte agravada para resposta é procedimento natural de preservação do princípio do contraditório, nos termos do art. 527, V, do CPC. (...) A dispensa do referido ato processual ocorre tão-somente quando o relator nega seguimento ao agravo (art. 527, I), uma vez que essa decisão beneficia o agravado, razão pela qual conclui-se que a intimação para a apresentação de contrarrazões é condição de validade da decisão que causa prejuízo ao recorrente."
379,OK,,"Nos casos de intimação/citação realizadas por Correio, Oficial de Justiça, ou por Carta de Ordem, Precatória ou Rogatória, o prazo recursal inicia-se com a juntada aos autos do aviso de recebimento, do mandado cumprido, ou da juntada da carta."
380,OK,,"No caso de sentença ilíquida, para a imposição da multa prevista no art. 475-J do CPC, revela-se indispensável (i) a prévia liquidação da obrigação; e, após, o acertamento, (ii) a intimação do devedor, na figura do seu Advogado, para pagar o quantum ao final definido no prazo de 15 dias."
391,OK,,"O juízo do inventário, na modalidade de arrolamento sumário, não detém competência para apreciar pedido de reconhecimento da isenção do ITCMD (Imposto sobre Transmissão <i>Causa Mortis</i> e Doação de quaisquer Bens ou Direitos), à luz do disposto no caput do artigo 179, do CTN."
392,OK,,"A reunião de processos contra o mesmo devedor, por conveniência da unidade da garantia da execução, nos termos do art. 28 da Lei 6.830/80, é uma faculdade outorgada ao juiz, e não um dever."
393,OK,,"O crédito tributário de autarquia federal goza do direito de preferência em relação àquele de que seja titular a Fazenda Estadual, desde que a penhora recaia sobre o mesmo bem."
395,OK,,"Adota-se como valor de alçada para o cabimento de apelação em sede de execução fiscal o valor de R$ 328,27 (trezentos e vinte e oito reais e vinte e sete centavos), corrigido pelo IPCA-E a partir de janeiro de 2001, valor esse que deve ser observado à data da propositura da execução."
396,OK,,"Ainda que a execução fiscal tenha sido ajuizada na Justiça Federal (o que afasta a incidência da norma inserta no artigo 1º, § 1º, da Lei 9.289/96), cabe à Fazenda Pública Federal adiantar as despesas com o transporte/condução/deslocamento dos oficiais de justiça necessárias ao cumprimento da carta precatória de penhora e avaliação de bens (processada na Justiça Estadual), por força do princípio hermenêutico <i>ubi eadem ratio ibi eadem legis dispositio</i>."
400,OK,,"A condenação, em honorários advocatícios, do contribuinte, que formula pedido de desistência dos embargos à execução fiscal de créditos tributários da Fazenda Nacional, para fins de adesão a programa de parcelamento fiscal, configura inadmissível bis in idem, tendo em vista o encargo estipulado no Decreto-lei 1.025/69."
407,OK,,"São cabíveis honorários advocatícios em fase de cumprimento de sentença, haja ou não impugnação, depois de escoado o prazo para pagamento voluntário a que alude o art. 475-J do CPC, que somente se inicia após a intimação do advogado, com a baixa dos autos e a aposição do 'cumpra- se'."
408,OK,,Não são cabíveis honorários advocatícios pela rejeição da impugnação ao cumprimento de sentença.
409,OK,,"Em caso de sucesso da impugnação, com extinção do feito mediante sentença (art. 475-M, § 3º), revela-se que quem deu causa ao procedimento de cumprimento de sentença foi o exequente, devendo ele arcar com as verbas advocatícias."
410,OK,,"O acolhimento ainda que parcial da impugnação gerará o arbitramento dos honorários, que serão fixados nos termos do art. 20, § 4º, do CPC, do mesmo modo que o acolhimento parcial da exceção de pré-executividade, porquanto, nessa hipótese, há extinção também parcial da execução."
413,OK,,"Admite-se que o preparo seja efetuado no primeiro dia útil subsequente, quando a interposição do recurso ocorrer após o encerramento do expediente bancário."
421,OK,,É possível a condenação da Fazenda Pública ao pagamento de honorários advocatícios em decorrência da extinção da Execução Fiscal pelo acolhimento de Exceção de Pré-Executividade.
425,OK,,"A utilização do Sistema BACEN-JUD, no período posterior à vacatio legis da Lei 11.382/2006 (21.01.2007), prescinde do exaurimento de diligências extrajudiciais, por parte do exequente, a fim de se autorizar o bloqueio eletrônico de depósitos ou aplicações financeiras."
430,OK,,"No pertinente a impetração de ação mandamental contra lei em tese, a jurisprudência desta Corte Superior embora reconheça a possibilidade de mandado de segurança invocar a inconstitucionalidade da norma como fundamento para o pedido, não admite que a declaração de inconstitucionalidade,constitua,elaprópria, pedido autônomo."
433,OK,,Não são devidos honorários advocatícios à Defensoria Pública quando ela atua contra pessoa jurídica de direito público integrante da mesma Fazenda Pública.
434,OK,,"O agravo interposto contra decisão monocrática do Tribunal de origem, com o objetivo de exaurir a instância recursal ordinária, a fim de permitir a interposição de recurso especial e do extraordinário, não é manifestamente inadmissível ou infundado, o que torna inaplicável a multa prevista no art. 557, §2º,do Código de Processo Civil."
437,OK,,"Não configura cerceamento de defesa o julgamento antecipado da lide, ante os elementos documentais suficientes."
441,OK,,"A condenação em montante inferior ao postulado na inicial não afasta a sucumbência mínima, de modo que não se redistribuem os ônus da sucumbência."
443,OK,,"É permitido ao juiz da execução, diante da natureza alimentar do crédito e do estado de necessidade dos exequentes, a dispensa da contracautela para o levantamento do crédito, limitado, contudo, a 60 (sessenta) vezes o salário mínimo."
444,OK,,"(i) o prazo de redirecionamento da Execução Fiscal, fixado em cinco anos, contado da diligência de citação da pessoa jurídica, é aplicável quando o referido ato ilícito, previsto no art. 135, III, do CTN, for precedente a esse ato processual; (ii) a citação positiva do sujeito passivo devedor original da obrigação tributária, por si só, não provoca o início do prazo prescricional quando o ato de dissolução irregular for a ela subsequente, uma vez que, em tal circunstância, inexistirá, na aludida data (da citação), pretensão contra os sócios- gerentes (conforme decidido no REsp 1.101.728/SP, no rito do art. 543-C do CPC/1973, o mero inadimplemento da exação não configura ilícito atribuível aos sujeitos de direito descritos no art. 135 do CTN). O termo inicial do prazo prescricional para a cobrança do crédito dos sócios-gerentes infratores, nesse contexto, é a data da prática de ato inequívoco indicador do intuito de inviabilizar a satisfação do crédito tributário já em curso de cobrança executiva promovida contra a empresa contribuinte, a ser demonstrado pelo Fisco, nos termos do art. 593 do CPC/1973 (art. 792 do novo CPC - fraude à execução), combinado com o art. 185 do CTN (presunção de fraude contra a Fazenda Pública); e, (iii) em qualquer hipótese, a decretação da prescrição para o redirecionamento impõe seja demonstrada a inércia da Fazenda Pública, no lustro que se seguiu à citação da empresa originalmente devedora (REsp 1.222.444/RS) ou ao ato inequívoco mencionado no item anterior (respectivamente, nos casos de dissolução irregular precedente ou superveniente à citação da empresa), cabendo às instâncias ordinárias o exame dos fatos e provas atinentes à demonstração da prática de atos concretos na direção da cobrança do crédito tributário no decurso do prazo prescricional."
